timestamp,R,G,B
4.1333,181.5194,136.332,115.3732
4.1667,181.6524,136.5283,115.4696
4.2,181.3365,136.8395,115.3364
4.2333,181.2079,137.5826,115.3581
4.2667,181.0993,138.4301,115.4036
4.3,180.2404,138.6171,114.9602
4.3333,179.926,139.0549,114.8434
4.3667,179.9622,139.5836,114.9282
4.4,180.0677,140.0526,115.0432
4.4333,179.7147,140.1651,114.8654
4.4667,179.6686,140.6298,114.8976
4.5,179.5662,141.2324,114.9163
4.5333,179.2831,141.8673,114.8408
4.5667,178.6994,142.3453,114.5827
4.6,178.6078,143.1172,114.6281
4.6333,178.315,143.4464,114.5096
4.6667,178.835,143.9436,114.8533
4.7,178.7659,143.41,114.75
4.7333,178.646,142.2594,114.5431
4.7667,179.2529,141.2059,114.7429
4.8,179.8101,139.8523,114.8787
4.8333,180.754,138.7994,115.2615
4.8667,180.9217,137.4044,115.1807
4.9,181.3922,136.713,115.351
4.9333,181.2032,136.0861,115.1712
4.9667,181.5369,136.4385,115.3958
5.0,181.4001,136.889,115.377
5.0333,180.8692,137.3192,115.1417
5.0667,180.7961,138.1943,115.2099
5.1,180.9833,139.1949,115.4348
5.1333,180.4082,139.4299,115.1514
5.1667,179.9876,139.6033,114.9444
5.2,180.2623,140.204,115.1676
5.2333,179.979,140.3707,115.0343
5.2667,179.6408,140.6082,114.8799
5.3,179.5831,141.2456,114.9271
5.3333,179.2213,141.8192,114.8012
5.3667,179.0526,142.62,114.8083
5.4,178.5653,143.0841,114.6009
5.4333,178.4125,143.5221,114.5719
5.4667,178.2071,143.4552,114.4521
5.5,178.3137,143.0583,114.461
5.5333,178.8867,142.4466,114.6969
5.5667,179.5858,141.4649,114.9556
5.6,180.0119,140.0093,115.0076
5.6333,180.7892,138.8268,115.284
5.6667,181.1547,137.5857,115.3296
5.7,181.4509,136.7587,115.3886
5.7333,181.6624,136.4432,115.4645
5.7667,181.5939,136.4828,115.4322
5.8,181.3792,136.8727,115.3636
5.8333,181.0199,137.4364,115.238
5.8667,180.6637,138.0913,115.1252
5.9,180.5875,138.8871,115.182
5.9333,180.1735,139.2474,115.0015
5.9667,180.0636,139.6624,114.9929
6.0,180.146,140.1136,115.0933
6.0333,179.612,140.0852,114.7998
6.0667,179.7692,140.7081,114.9619
6.1,179.6329,141.2843,114.9589
6.1333,179.0643,141.6971,114.701
6.1667,178.8389,142.4538,114.6718
6.2,178.6405,143.1426,114.6489
6.2333,178.7844,143.8114,114.8095
6.2667,178.4684,143.6585,114.619
6.3,178.787,143.4264,114.7634
6.3333,179.0229,142.5524,114.7839
6.3667,179.7568,141.5979,115.0648
6.4,180.04,140.0311,115.0256
6.4333,180.478,138.5848,115.0852
6.4667,180.9909,137.4583,115.2249
6.5,181.411,136.7276,115.3631
6.5333,181.128,136.0276,115.1231
6.5667,181.5009,136.4105,115.3728
6.6,181.3936,136.8839,115.3729
6.6333,180.9681,137.3961,115.2049
6.6667,180.937,138.3039,115.2998
6.7,180.7138,138.9854,115.2626
6.7333,180.3515,139.3858,115.1152
6.7667,180.0781,139.6737,115.0022
6.8,179.9087,139.929,114.9417
6.8333,179.6305,140.0996,114.8116
6.8667,179.7025,140.6562,114.9193
6.9,179.6425,141.2918,114.965
6.9333,179.3199,141.8959,114.8643
6.9667,178.99,142.5713,114.7683
7.0,178.8786,143.3278,114.8011
7.0333,178.3283,143.4567,114.5181
7.0667,178.671,143.8161,114.7485
7.1,178.6668,143.3329,114.6867
7.1333,179.0523,142.5753,114.8027
7.1667,179.4309,141.3444,114.8566
7.2,179.9258,139.9423,114.9526
7.2333,180.7119,138.7666,115.2346
7.2667,181.0872,137.5331,115.2864
7.3,181.4015,136.7202,115.357
7.3333,181.6072,136.4003,115.4293
7.3667,181.2746,136.2344,115.2282
7.4,181.3612,136.8587,115.3522
7.4333,180.9095,137.3505,115.1674
7.4667,180.77,138.174,115.1931
7.5,180.7043,138.9779,115.2565
7.5333,180.1352,139.2176,114.977
7.5667,180.2705,139.8234,115.1252
7.6,179.8989,139.9214,114.9354
7.6333,179.8603,140.2784,114.9584
7.6667,179.4564,140.4648,114.7621
7.7,179.6764,141.3181,114.9867
7.7333,178.8892,141.5609,114.5891
7.7667,179.0768,142.6388,114.8238
7.8,178.9777,143.4049,114.8644
7.8333,178.4831,143.5771,114.617
7.8667,178.3715,143.5831,114.5571
7.9,178.687,143.3486,114.6995
7.9333,178.771,142.3566,114.623
7.9667,179.4069,141.3258,114.8413
8.0,180.0754,140.0587,115.0482
8.0333,180.4302,138.5476,115.0547
8.0667,181.112,137.5525,115.3023
8.1,181.7189,136.9671,115.5597
8.1333,181.4551,136.282,115.3321
8.1667,181.4045,136.3355,115.3112
8.2,181.5969,137.042,115.5027
8.2333,180.9931,137.4155,115.2209
8.2667,180.8066,138.2025,115.2165
8.3,180.3181,138.6775,115.0098
8.3333,180.2025,139.27,115.02
8.3667,180.2045,139.772,115.083
8.4,180.1397,140.1087,115.0893
8.4333,180.1678,140.5175,115.1549
8.4667,179.6198,140.5919,114.8665
8.5,179.3659,141.0766,114.7883
8.5333,179.4036,141.961,114.9177
8.5667,179.1307,142.6808,114.8583
8.6,178.7544,143.2312,114.7217
8.6333,178.3962,143.5095,114.5615
8.6667,178.2903,143.52,114.5052
8.7,178.6404,143.3124,114.6698
8.7333,179.1636,142.6619,114.8738
8.7667,179.4804,141.3829,114.8882
8.8,180.3037,140.2362,115.194
8.8333,180.51,138.6096,115.1056
8.8667,181.0803,137.5278,115.2821
8.9,181.7254,136.9722,115.5639
8.9333,181.5217,136.3338,115.3746
8.9667,181.6526,136.5285,115.4697
9.0,181.3446,136.8458,115.3416
9.0333,180.7183,137.2018,115.0453
9.0667,180.9275,138.2965,115.2938
9.1,180.5226,138.8366,115.1405
9.1333,180.152,139.2306,114.9877
9.1667,180.0111,139.6216,114.9594
9.2,179.8046,139.848,114.8751
9.2333,179.7353,140.1812,114.8786
9.2667,179.6298,140.5996,114.8728
9.3,179.477,141.163,114.8593
9.3333,179.2947,141.8763,114.8482
9.3667,178.9934,142.574,114.7705
9.4,178.553,143.0745,114.593
9.4333,178.4766,143.572,114.6129
9.4667,178.5369,143.7118,114.6628
9.5,178.1312,142.9163,114.3445
9.5333,178.7368,142.33,114.6011
9.5667,179.4529,141.3615,114.8706
9.6,179.8559,139.8879,114.908
9.6333,180.6994,138.757,115.2267
9.6667,180.8859,137.3766,115.1579
9.7,181.7078,136.9584,115.5527
9.7333,181.4928,136.3113,115.3562
9.7667,181.4132,136.3423,115.3168
9.8,181.4728,136.9455,115.4235
9.8333,180.9465,137.3793,115.1911
9.8667,180.6516,138.0819,115.1175
9.9,180.4117,138.7504,115.0696
9.9333,180.3893,139.4153,115.1394
9.9667,180.5605,140.0489,115.3104
10.0,179.751,139.8063,114.8409
10.0333,179.8468,140.2679,114.9498
10.0667,179.6059,140.581,114.8576
10.1,179.9412,141.5241,115.1559
10.1333,179.0544,141.6894,114.6946
10.1667,178.7871,142.4135,114.6387
10.2,178.9415,143.3767,114.8412
10.2333,178.5875,143.6583,114.6837
10.2667,178.3867,143.595,114.5669
10.3,178.4962,143.2002,114.5777
10.3333,179.0432,142.5683,114.7969
10.3667,179.4194,141.3355,114.8492
10.4,180.0139,140.0108,115.0089
10.4333,180.3757,138.5052,115.0198
10.4667,180.9584,137.433,115.2042
10.5,181.1212,136.5022,115.1779
10.5333,181.4483,136.2767,115.3277
10.5667,181.1238,136.1172,115.1319
10.6,181.4521,136.9294,115.4102
10.6333,180.8679,137.3182,115.1409
10.6667,180.7001,138.1196,115.1485
10.7,180.555,138.8618,115.1612
10.7333,180.2942,139.3412,115.0786
10.7667,180.0001,139.6131,114.9524
10.8,180.203,140.1579,115.1297
10.8333,180.055,140.4298,115.0828
10.8667,180.1084,140.9719,115.1786
10.9,179.5946,141.2545,114.9344
10.9333,179.2598,141.8491,114.8258
10.9667,179.1033,142.6594,114.8407
11.0,178.7312,143.2131,114.7069
11.0333,178.5577,143.6351,114.6647
11.0667,178.461,143.6527,114.6143
11.1,178.7443,143.3932,114.7362
11.1333,178.7458,142.3369,114.6068
11.1667,179.671,141.5311,115.01
11.2,179.8477,139.8815,114.9027
11.2333,180.7482,138.7949,115.2578
11.2667,180.8571,137.3542,115.1395
11.3,181.6866,136.942,115.5391
11.3333,181.2996,136.1611,115.2328
11.3667,181.4535,136.3736,115.3425
11.4,181.2908,136.8039,115.3072
11.4333,181.0001,137.4209,115.2253
11.4667,180.8547,138.2399,115.2473
11.5,180.8755,139.1111,115.3659
11.5333,180.1081,139.1965,114.9597
11.5667,180.1108,139.6991,115.0231
11.6,179.5564,139.655,114.7166
11.6333,180.0021,140.3887,115.049
11.6667,179.6684,140.6297,114.8975
11.7,179.727,141.3575,115.019
11.7333,179.4957,142.0327,114.9766
11.7667,179.4558,142.9336,115.066
11.8,178.4801,143.0179,114.5465
11.8333,178.0923,143.2731,114.3673
11.8667,178.4329,143.6309,114.5963
11.9,178.8745,143.4944,114.8193
11.9333,178.6629,142.2725,114.5539
11.9667,179.2729,141.2215,114.7556
12.0,179.9791,139.9837,114.9866
12.0333,180.0812,138.2761,114.8317
12.0667,181.1586,137.5887,115.3321
12.1,181.21,136.5713,115.2346
12.1333,181.8266,136.571,115.5695
12.1667,181.7427,136.5986,115.5273
12.2,181.3919,136.8826,115.3717
12.2333,181.0576,137.4657,115.2621
12.2667,181.0514,138.3929,115.373
12.3,180.6913,138.9678,115.2482
12.3333,180.3038,139.3487,115.0847
12.3667,180.0049,139.6168,114.9555
12.4,180.116,140.0902,115.0741
12.4333,180.0843,140.4526,115.1015
12.4667,179.7048,140.6579,114.9207
12.5,179.5846,141.2468,114.928
12.5333,179.3635,141.9298,114.8921
12.5667,178.9387,142.5314,114.7356
12.6,178.7616,143.2368,114.7263
12.6333,178.5393,143.6208,114.6529
12.6667,178.4749,143.6636,114.6232
12.7,178.5606,143.2503,114.6188
12.7333,178.8103,142.3871,114.6481
12.7667,179.5162,141.4107,114.9111
12.8,179.8035,139.8472,114.8745
12.8333,180.423,138.542,115.0501
12.8667,181.7444,138.0444,115.7064
12.9,181.2955,136.6378,115.2893
12.9333,181.5886,136.3858,115.4173
12.9667,181.8136,136.6537,115.5726
13.0,181.2454,136.7686,115.2782
13.0333,181.0537,137.4626,115.2596
13.0667,180.9745,138.3331,115.3238
13.1,180.5592,138.8651,115.1638
13.1333,180.132,139.2151,114.975
13.1667,180.1523,139.7314,115.0496
13.2,179.9096,139.9297,114.9423
13.2333,179.8334,140.2574,114.9412
13.2667,179.7959,140.7288,114.9789
13.3,179.6091,141.2658,114.9437
13.3333,179.0606,141.6942,114.6986
13.3667,178.8733,142.4806,114.6938
13.4,178.7332,143.2147,114.7082
13.4333,178.6439,143.7021,114.7197
13.4667,178.5003,143.6833,114.6394
13.5,178.6363,143.3092,114.6672
13.5333,178.7715,142.3569,114.6233
13.5667,179.5185,141.4125,114.9125
13.6,179.7732,139.8236,114.8551
13.6333,180.8003,138.8355,115.2911
13.6667,181.0278,137.487,115.2485
13.7,181.4182,136.7332,115.3677
13.7333,181.5174,136.3305,115.3719
13.7667,181.868,136.696,115.6074
13.8,181.274,136.7909,115.2964
13.8333,181.1878,137.567,115.3453
13.8667,180.5994,138.0413,115.0842
13.9,180.6481,138.9342,115.2206
13.9333,180.2382,139.2977,115.0428
13.9667,180.1313,139.7151,115.0362
14.0,180.1006,140.0783,115.0643
14.0333,179.9995,140.3867,115.0474
14.0667,179.5096,140.5062,114.7961
14.1,179.7193,141.3515,115.0141
14.1333,178.8205,141.5075,114.5452
14.1667,178.9299,142.5246,114.7299
14.2,178.4536,142.9972,114.5295
14.2333,178.5024,143.5921,114.6293
14.2667,178.4392,143.6358,114.6004
14.3,178.6902,143.3511,114.7016
14.3333,179.0545,142.577,114.8041
14.3667,179.3457,141.2781,114.8022
14.4,179.7598,139.8132,114.8465
14.4333,180.3808,138.5092,115.0231
14.4667,181.1692,137.5969,115.3388
14.5,181.2958,136.638,115.2894
14.5333,181.6625,136.4433,115.4646
14.5667,181.5406,136.4414,115.3982
14.6,181.5878,137.0349,115.4969
14.6333,180.7478,137.2247,115.0641
14.6667,180.9018,138.2765,115.2774
14.7,180.5994,138.8964,115.1895
14.7333,180.1733,139.2472,115.0014
14.7667,180.323,139.8642,115.1587
14.8,179.7129,139.7767,114.8166
14.8333,179.9715,140.3649,115.0295
14.8667,179.5879,140.567,114.8461
14.9,179.9259,141.5122,115.1461
14.9333,179.3936,141.9532,114.9114
14.9667,178.5774,142.2504,114.5047
15.0,178.9632,143.3936,114.8551
15.0333,178.3299,143.4579,114.5191
15.0667,178.5804,143.7456,114.6906
15.1,178.3997,143.1252,114.516
15.1333,178.6362,142.2517,114.5368
15.1667,179.5607,141.4454,114.9395
15.2,180.1143,140.0889,115.073
15.2333,180.2532,138.4099,114.9416
15.2667,180.8604,137.3567,115.1415
15.3,181.4716,136.7747,115.4017
15.3333,181.4595,136.2854,115.3349
15.3667,181.3242,136.273,115.2599
15.4,181.3546,136.8536,115.348
15.4333,181.2133,137.5868,115.3615
15.4667,180.6389,138.072,115.1094
15.5,180.4515,138.7813,115.095
15.5333,180.6137,139.5897,115.2827
15.5667,180.0421,139.6457,114.9792
15.6,180.0133,140.0103,115.0085
15.6333,179.7772,140.2138,114.9054
15.6667,179.8091,140.7391,114.9874
15.7,179.6411,141.2907,114.9641
15.7333,179.1908,141.7955,114.7818
15.7667,179.0318,142.6038,114.795
15.8,178.5078,143.0394,114.5641
15.8333,179.0832,144.0438,115.0004
15.8667,178.4071,143.6108,114.5798
15.9,178.7204,143.3746,114.7209
15.9333,178.8034,142.3817,114.6436
15.9667,179.5882,141.4668,114.9571
16.0,180.3067,140.2386,115.196
16.0333,180.3891,138.5156,115.0284
16.0667,181.2464,137.657,115.3881
16.1,181.5577,136.8417,115.4568
16.1333,181.5989,136.3939,115.424
16.1667,181.3945,136.3277,115.3048
16.2,181.3884,136.8799,115.3696
16.2333,180.9742,137.4008,115.2088
16.2667,180.6125,138.0515,115.0925
16.3,180.6071,138.9024,115.1945
16.3333,180.2743,139.3258,115.0659
16.3667,180.4375,139.9532,115.2318
16.4,180.4832,140.3758,115.3087
16.4333,180.0993,140.4643,115.1111
16.4667,179.6289,140.599,114.8723
16.5,179.5447,141.2158,114.9026
16.5333,179.2354,141.8302,114.8103
16.5667,178.7664,142.3974,114.6255
16.6,178.6615,143.1589,114.6623
16.6333,178.6898,143.7379,114.7491
16.6667,178.4137,143.616,114.5841
16.7,178.3523,143.0883,114.4857
16.7333,179.1616,142.6604,114.8725
16.7667,179.2952,141.2389,114.7699
16.8,179.9983,139.9987,114.9989
16.8333,180.8698,138.8895,115.3355
16.8667,181.2546,137.6634,115.3934
16.9,181.229,136.5861,115.2468
16.9333,181.2511,136.1233,115.2017
16.9667,181.6683,136.5407,115.4798
17.0,181.5214,136.9833,115.4545
17.0333,180.7378,137.217,115.0578
17.0667,180.9594,138.3213,115.3142
17.1,180.405,138.7452,115.0653
17.1333,180.3341,139.3723,115.1041
17.1667,180.0936,139.6858,115.0121
17.2,179.901,139.923,114.9367
17.2333,179.6565,140.1199,114.8282
17.2667,179.2892,140.3347,114.6552
17.3,179.867,141.4664,115.1084
17.3333,179.0491,141.6853,114.6913
17.3667,178.7376,142.375,114.6071
17.4,178.7346,143.2158,114.709
17.4333,178.439,143.5428,114.5888
17.4667,178.1385,143.4019,114.4082
17.5,178.685,143.3471,114.6983
17.5333,178.9806,142.5196,114.7569
17.5667,179.4508,141.3599,114.8693
17.6,180.1507,140.1172,115.0963
17.6333,180.485,138.5901,115.0896
17.6667,181.1339,137.5695,115.3163
17.7,181.1717,136.5415,115.2102
17.7333,181.5597,136.3633,115.3989
17.7667,181.2536,136.2181,115.2148
17.8,181.1998,136.7331,115.249
17.8333,180.9655,137.394,115.2032
17.8667,180.7402,138.1509,115.1742
17.9,180.5994,138.8963,115.1895
17.9333,180.5059,139.5059,115.2138
17.9667,180.3577,139.8912,115.1808
18.0,180.0133,140.0103,115.0085
18.0333,179.9385,140.3392,115.0084
18.0667,179.7077,140.6602,114.9226
18.1,179.3678,141.0781,114.7895
18.1333,179.3543,141.9227,114.8863
18.1667,179.0089,142.586,114.7804
18.2,178.7589,143.2347,114.7246
18.2333,178.4342,143.539,114.5857
18.2667,178.5723,143.7393,114.6854
18.3,178.6437,143.315,114.6719
18.3333,178.9092,142.464,114.7112
18.3667,179.4532,141.3618,114.8709
18.4,180.2622,140.2039,115.1675
18.4333,180.6457,138.7152,115.1923
18.4667,181.2816,137.6844,115.4107
18.5,181.3544,136.6836,115.3269
18.5333,181.6157,136.4069,115.4347
18.5667,181.3674,136.3067,115.2875
18.6,181.5792,137.0283,115.4914
18.6333,180.8639,137.315,115.1383
18.6667,180.4786,137.9474,115.007
18.7,180.2053,138.5898,114.9377
18.7333,180.2706,139.3229,115.0635
18.7667,180.2986,139.8452,115.1431
18.8,180.3148,140.2448,115.2011
18.8333,179.828,140.2533,114.9378
18.8667,179.6269,140.5973,114.871
18.9,179.5252,141.2006,114.8901
18.9333,179.0768,141.7068,114.7089
18.9667,178.7738,142.4032,114.6302
19.0,178.4508,142.9951,114.5278
19.0333,178.1397,143.31,114.3976
19.0667,178.3511,143.5672,114.5441
19.1,178.6039,143.284,114.6465
19.1333,178.9246,142.476,114.7211
19.1667,179.3139,141.2534,114.7818
19.2,180.4066,140.3162,115.2598
19.2333,180.6837,138.7447,115.2166
19.2667,180.9669,137.4396,115.2096
19.3,181.1232,136.5037,115.1792
19.3333,181.1679,136.0586,115.1486
19.3667,181.4465,136.3682,115.338
19.4,181.1415,136.6879,115.2118
19.4333,181.1669,137.5507,115.3319
19.4667,180.8348,138.2245,115.2346
19.5,180.4908,138.8119,115.1201
19.5333,180.7168,139.67,115.3486
19.5667,180.0858,139.6797,115.0071
19.6,179.8797,139.9064,114.9231
19.6333,179.8976,140.3074,114.9823
19.6667,179.7403,140.6856,114.9434
19.7,179.7208,141.3527,115.015
19.7333,179.1716,141.7805,114.7695
19.7667,178.8554,142.4667,114.6824
19.8,178.6102,143.1191,114.6296
19.8333,178.6021,143.6696,114.693
19.8667,178.3371,143.5563,114.5351
19.9,178.5523,143.2439,114.6135
19.9333,179.2449,142.7251,114.9257
19.9667,179.555,141.441,114.9359
20.0,179.8475,139.8814,114.9026
20.0333,180.5854,138.6683,115.1538
20.0667,181.2932,137.6934,115.4181
20.1,181.5448,136.8317,115.4485
20.1333,181.5025,136.3189,115.3624
20.1667,181.5213,136.4263,115.3858
20.2,180.9288,136.5224,115.0759
20.2333,180.7659,137.2388,115.0757
20.2667,180.8012,138.1982,115.2131
20.3,180.53,138.8424,115.1452
20.3333,180.5028,139.5035,115.2119
20.3667,180.4027,139.9262,115.2096
20.4,180.4335,140.3372,115.277
20.4333,180.0242,140.4058,115.0631
20.4667,179.7901,140.7243,114.9752
20.5,179.3624,141.0739,114.7861
20.5333,179.338,141.91,114.8758
20.5667,179.0046,142.5827,114.7777
20.6,178.9704,143.3992,114.8597
20.6333,178.7434,143.7795,114.7833
20.6667,178.5324,143.7082,114.6599
20.7,178.8031,143.4389,114.7738
20.7333,178.6701,142.2781,114.5585
20.7667,179.7022,141.5554,115.0299
20.8,180.1237,140.0962,115.079
20.8333,180.124,138.3094,114.859
20.8667,180.9966,137.4627,115.2286
20.9,181.2964,136.6385,115.2899
20.9333,181.6038,136.3976,115.4271
20.9667,181.8034,136.6458,115.5661
21.0,181.473,136.9457,115.4236
21.0333,181.1735,137.5558,115.3361
21.0667,180.9994,138.3525,115.3397
21.1,180.5178,138.8329,115.1374
21.1333,180.6876,139.6472,115.3299
21.1667,180.0796,139.6748,115.0031
21.2,179.7726,139.8231,114.8547
21.2333,179.8335,140.2576,114.9413
21.2667,179.6796,140.6383,114.9046
21.3,179.3577,141.0703,114.7831
21.3333,179.447,141.9947,114.9454
21.3667,179.0423,142.612,114.8017
21.4,178.8177,143.2804,114.7621
21.4333,178.6488,143.706,114.7229
21.4667,178.4912,143.6762,114.6336
21.5,178.8901,143.5066,114.8293
21.5333,179.0308,142.5586,114.7889
21.5667,179.7048,141.5574,115.0316
21.6,180.1534,140.1193,115.098
21.6333,180.7342,138.784,115.2489
21.6667,180.7739,137.2895,115.0863
21.7,181.5054,136.801,115.4233
21.7333,181.6224,136.4121,115.439
21.7667,181.3752,136.3127,115.2925
21.8,181.1539,136.6975,115.2197
21.8333,180.9881,137.4116,115.2177
21.8667,180.9353,138.3026,115.2988
21.9,180.3181,138.6776,115.0098
21.9333,180.097,139.1879,114.9526
21.9667,179.969,139.5889,114.9325
22.0,180.2998,140.2331,115.1915
22.0333,179.6965,140.151,114.8538
22.0667,179.83,140.7553,115.0007
22.1,179.2931,141.0201,114.7418
22.1333,179.3095,141.8879,114.8577
22.1667,178.6311,142.2922,114.539
22.2,178.6996,143.1886,114.6867
22.2333,178.4767,143.5721,114.6129
22.2667,178.523,143.7009,114.6539
22.3,178.4082,143.1318,114.5215
22.3333,178.7044,142.3048,114.5804
22.3667,179.2407,141.1965,114.7351
22.4,180.0665,140.0517,115.0425
22.4333,180.7019,138.7589,115.2283
22.4667,181.2178,137.6348,115.3699
22.5,181.5231,136.8148,115.4347
22.5333,181.3481,136.1988,115.2637
22.5667,181.343,136.2877,115.2719
22.6,181.6174,137.058,115.5159
22.6333,181.3726,137.7107,115.4633
22.6667,180.728,138.1414,115.1663
22.7,180.8179,139.0663,115.3291
22.7333,180.4442,139.4579,115.1744
22.7667,180.1521,139.7313,115.0495
22.8,180.188,140.1462,115.1201
22.8333,179.8986,140.3082,114.9829
22.8667,179.5888,140.5677,114.8466
22.9,179.5914,141.252,114.9324
22.9333,179.1145,141.7362,114.7331
22.9667,179.2835,142.7996,114.9559
23.0,178.8673,143.319,114.7938
23.0333,178.0772,143.2614,114.3576
23.0667,178.5757,143.7419,114.6876
23.1,178.6103,143.289,114.6506
23.1333,178.9246,142.476,114.7211
23.1667,179.4827,141.3847,114.8897
23.2,180.1664,140.1294,115.1063
23.2333,180.6698,138.7339,115.2077
23.2667,181.0887,137.5344,115.2874
23.3,180.9416,136.3625,115.0631
23.3333,181.5943,136.3902,115.421
23.3667,182.0387,136.8288,115.7164
23.4,181.642,137.0771,115.5315
23.4333,181.3558,137.6977,115.4526
23.4667,181.1396,138.4615,115.4293
23.5,180.0939,138.5032,114.8666
23.5333,180.4704,139.4783,115.1912
23.5667,180.2642,139.8184,115.1211
23.6,180.1504,140.117,115.0961
23.6333,179.9224,140.3266,114.9981
23.6667,179.8436,140.7659,115.0094
23.7,179.6682,141.3117,114.9814
23.7333,179.139,141.7552,114.7487
23.7667,178.907,142.5068,114.7153
23.8,178.6147,143.1225,114.6324
23.8333,178.908,143.9076,114.8885
23.8667,178.3581,143.5727,114.5485
23.9,178.4922,143.1971,114.5751
23.9333,178.82,142.3947,114.6543
23.9667,179.449,141.3585,114.8682
24.0,180.0952,140.074,115.0608
